State,Year,Month,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita
Missouri,2019,6,0.038179399999999995,0.04948333333333333,10.366666666666667,48.88333333333333,0.22163446666666667,0.29,6.266666666666667,3.066666666666667,0.5552321666666666,2.566666666666667,9.966666666666667,2.966666666666667,8.156944466666667,21.63,10.9,19.9,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Missouri,2019,7,0.034073064516129035,0.04667741935483871,9.129032258064516,46.516129032258064,0.20888251612903225,0.26129032258064516,3.5161290322580645,2.6451612903225805,0.44319774193548384,1.8806451612903226,10.258064516129032,1.903225806451613,7.854477709677419,19.038709677419355,11.774193548387096,17.419354838709676,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Missouri,2019,8,0.03388301666666667,0.04593333333333333,9.583333333333334,46.233333333333334,0.29742523333333337,0.35666666666666663,5.033333333333333,4.033333333333333,0.47479523333333334,2.05,11.0,2.1333333333333333,8.8340712,19.396666666666665,9.8,17.9,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Missouri,2019,9,0.0318912,0.04425,9.616666666666667,42.483333333333334,0.2966912,0.39333333333333337,7.6,4.6,0.5319968,1.77,9.466666666666667,1.6333333333333333,9.621401566666666,22.243333333333332,11.066666666666666,20.5,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Missouri,2019,10,0.021604677419354838,0.02929032258064516,10.919354838709678,27.129032258064516,0.21904512903225806,0.3225806451612903,8.096774193548388,3.5161290322580645,0.43753316129032255,1.8258064516129033,11.903225806451612,1.7096774193548387,10.394379290322581,22.951612903225808,14.741935483870968,21.193548387096776,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Missouri,2019,11,0.015814413793103447,0.022879310344827587,11.068965517241379,21.120689655172413,0.23405172413793102,0.3620689655172414,7.448275862068965,3.9655172413793105,0.5302563103448276,1.9275862068965517,10.89655172413793,1.9310344827586208,12.669471413793103,23.882758620689657,14.241379310344827,22.03448275862069,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Missouri,2019,12,0.0157224,0.022916666666666665,12.616666666666667,21.183333333333334,0.2892841333333333,0.4583333333333333,8.116666666666667,5.166666666666667,0.6442146166666666,1.9033333333333333,12.05,1.9,15.872934266666666,28.008333333333333,12.95,25.866666666666667,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,1,0.017258524590163936,0.02811475409836065,10.475409836065573,26.049180327868854,0.4547478360655738,0.7311475409836066,8.163934426229508,8.37704918032787,0.5628726393442623,1.6360655737704917,9.344262295081966,1.5737704918032787,21.401365590163934,34.81803278688525,14.0,32.459016393442624,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,2,0.031808666666666666,0.04041176470588235,11.215686274509803,37.470588235294116,0.2754545490196078,0.4,4.803921568627451,4.470588235294118,0.13631313725490196,0.5450980392156863,5.627450980392157,0.43137254901960786,14.39576074509804,28.98627450980392,12.215686274509803,27.0,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,3,0.036579360655737705,0.04719672131147541,10.278688524590164,44.36065573770492,0.2226320819672131,0.33442622950819667,5.377049180327869,3.6557377049180326,0.14226531147540983,0.5934426229508197,7.524590163934426,0.36065573770491804,12.57470568852459,29.314754098360655,10.39344262295082,27.114754098360656,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
